[  % 1
on(table, computer) | put the computer on the table
has(user, newspaper) | give me the item
on(couch, blanket) | put the item on the couch
has(user, cake) | give me the item
on(table, plate) | put the item on the table
on(table, cookie) | put the item on the table
on(table, muffin) | put the item on the table
filled(mug, kettle) | fill the item from the kettle
has(user, mug) | give me the item
on(table, bowl) | put the item on the table
on(table, pizza) | put the item on the table
on(couch, rug) | put the item on the couch
on(couch, pillow) | put the item on the couch
inside(dishwasher, plate) | put the item in the dishwasher
inside(dishwasher, mug) | put the item in the dishwasher
inside(dishwasher, bowl) | put the item in the dishwasher
]

[  % 2
switched_on(television) | turn on the television
has(user, phone) | give me the item
on(couch, book) | put the item on the couch
has(user, pencil) | give me the item
on(couch, blanket) | put the item on the couch
has(user, cake) | give me the item
on(table, plate) | put the item on the table
on(table, cookie) | put the item on the table
on(table, muffin) | put the item on the table
filled(mug, kettle) | fill the item from the kettle
has(user, mug) | give me the item
on(table, bowl) | put the item on the table
on(table, pizza) | put the item on the table
inside(dishwasher, plate) | put the item in the dishwasher
inside(dishwasher, mug) | put the item in the dishwasher
inside(dishwasher, bowl) | put the item in the dishwasher
]

[  % 3
on(table, computer) | put the computer on the table
has(user, newspaper) | give me the item
on(couch, book) | put the item on the couch
has(user, pencil) | give me the item
on(table, plate) | put the item on the table
on(table, muffin) | put the item on the table
on(table, pizza) | put the item on the table
filled(mug, kettle) | fill the item from the kettle
has(user, mug) | give me the item
on(table, bowl) | put the item on the table
on(table, cookie) | put the item on the table
on(couch, rug) | put the item on the couch
on(couch, curtain) | put the item on the couch
inside(dishwasher, plate) | put the item in the dishwasher
inside(dishwasher, mug) | put the item in the dishwasher
inside(dishwasher, bowl) | put the item in the dishwasher
]

[  % 4
switched_on(television) | turn on the television
has(user, phone) | give me the item
on(couch, blanket) | put the item on the couch
has(user, cake) | give me the item
on(couch, book) | put the item on the couch
has(user, pencil) | give me the item
on(table, plate) | put the item on the table
on(table, muffin) | put the item on the table
on(table, pizza) | put the item on the table
filled(mug, kettle) | fill the item from the kettle
has(user, mug) | give me the item
on(table, bowl) | put the item on the table
on(table, cookie) | put the item on the table
inside(dishwasher, plate) | put the item in the dishwasher
inside(dishwasher, mug) | put the item in the dishwasher
inside(dishwasher, bowl) | put the item in the dishwasher
]

[  % 5
on(table, plate) | put the plate on the table
open(refrigerator) | open the inside_furniture
inside(microwave_oven, chicken) | put the item in the microwave
on(table, orange) | put the item on the table
closed(refrigerator) | close the inside_furniture
heated(chicken) | heat the item
on(table, chicken) | put the item on the table
has(user, bread) | give me the item
on(couch, blanket) | put the item on the couch
has(user, cake) | give me the item
on(table, pizza) | put the item on the table
on(couch, pillow) | put the item on the couch
filled(mug, kettle) | fill the item from the kettle
has(user, mug) | give me the item
inside(dishwasher, plate) | put the item in the dishwasher
inside(dishwasher, mug) | put the item in the dishwasher
]

[  % 6
on(table, computer) | put the computer on the table
has(user, newspaper) | give me the item
switched_on(television) | turn on the item
has(user, phone) | give me the item
on(table, plate) | put the item on the table
on(table, cookie) | put the item on the table
on(table, pizza) | put the item on the table
filled(mug, kettle) | fill the item from the kettle
has(user, mug) | give me the item
on(table, bowl) | put the item on the table
on(table, muffin) | put the item on the table
on(couch, pillow) | put the item on the couch
on(couch, rug) | put the item on the couch
inside(dishwasher, plate) | put the item in the dishwasher
inside(dishwasher, mug) | put the item in the dishwasher
inside(dishwasher, bowl) | put the item in the dishwasher
]

[  % 7
on(couch, blanket) | put the blanket on the couch
has(user, cake) | give me the item
on(couch, book) | put the item on the couch
has(user, pencil) | give me the item
on(table, plate) | put the item on the table
on(table, cookie) | put the item on the table
on(table, muffin) | put the item on the table
filled(mug, kettle) | fill the item from the kettle
has(user, mug) | give me the item
on(table, bowl) | put the item on the table
on(table, pizza) | put the item on the table
on(couch, pillow) | put the item on the couch
on(couch, rug) | put the item on the couch
inside(dishwasher, plate) | put the item in the dishwasher
inside(dishwasher, mug) | put the item in the dishwasher
inside(dishwasher, bowl) | put the item in the dishwasher
]

[  % 8
switched_on(television) | turn on the television
has(user, phone) | give me the item
on(table, computer) | put the item on the table
has(user, newspaper) | give me the item
on(table, plate) | put the item on the table
on(table, muffin) | put the item on the table
on(table, cookie) | put the item on the table
filled(mug, kettle) | fill the item from the kettle
has(user, mug) | give me the item
on(table, bowl) | put the item on the table
on(table, pizza) | put the item on the table
on(couch, pillow) | put the item on the couch
on(couch, rug) | put the item on the couch
inside(dishwasher, plate) | put the item in the dishwasher
inside(dishwasher, mug) | put the item in the dishwasher
inside(dishwasher, bowl) | put the item in the dishwasher
]

[  % 9
filled(mug, kettle) | fill the mug from the kettle
on(table, peach) | put the item on the table
on(couch, pillow) | put the item on the couch
on(couch, blanket) | put the item on the couch
on(couch, rug) | put the item on the couch
on(couch, towel) | put the item on the couch
has(user, book) | give me the item
]

[  % 10
filled(cup, kettle) | fill the cup from the kettle
on(couch, newspaper) | put the item on the couch
has(user, newspaper) | give me the item
has(user, book) | give me the item
has(user, pencil) | give me the item
has(user, crayon) | give me the item
on(couch, pillow) | put the item on the couch
]

[  % 11
on(table, calculator) | put the calculator on the table
has(user, matchbook) | give me the item
on(couch, sweater) | put the item on the couch
has(user, cupcake) | give me the item
on(table, tray) | put the item on the table
on(table, scone) | put the item on the table
on(table, pancake) | put the item on the table
filled(ashtray, electric_kettle) | fill the item from the electric_kettle
has(user, ashtray) | give me the item
on(table, saltshaker) | put the item on the table
on(table, hamburger) | put the item on the table
on(couch, scarf) | put the item on the couch
on(couch, place_mat) | put the item on the couch
inside(dishwasher, tray) | put the item in the dishwasher
inside(dishwasher, ashtray) | put the item in the dishwasher
inside(dishwasher, saltshaker) | put the item in the dishwasher
]

[  % 12
switched_on(projector) | turn on the projector
has(user, camcorder) | give me the item
on(couch, videotape) | put the item on the couch
has(user, paperclip) | give me the item
on(couch, sweater) | put the item on the couch
has(user, cupcake) | give me the item
on(table, tray) | put the item on the table
on(table, scone) | put the item on the table
on(table, pancake) | put the item on the table
filled(ashtray, electric_kettle) | fill the item from the electric_kettle
has(user, ashtray) | give me the item
on(table, saltshaker) | put the item on the table
on(table, hamburger) | put the item on the table
inside(dishwasher, tray) | put the item in the dishwasher
inside(dishwasher, ashtray) | put the item in the dishwasher
inside(dishwasher, saltshaker) | put the item in the dishwasher
]

[  % 13
on(table, calculator) | put the calculator on the table
has(user, matchbook) | give me the item
on(couch, videotape) | put the item on the couch
has(user, paperclip) | give me the item
on(table, tray) | put the item on the table
on(table, pancake) | put the item on the table
on(table, hamburger) | put the item on the table
filled(ashtray, electric_kettle) | fill the item from the electric_kettle
has(user, ashtray) | give me the item
on(table, saltshaker) | put the item on the table
on(table, scone) | put the item on the table
on(couch, scarf) | put the item on the couch
on(couch, tie) | put the item on the couch
inside(dishwasher, tray) | put the item in the dishwasher
inside(dishwasher, ashtray) | put the item in the dishwasher
inside(dishwasher, saltshaker) | put the item in the dishwasher
]

