[  % 1
on(table, computer) | put the computer on the table
has(user, newspaper) | give me it
on(couch, blanket) | put it on the couch
has(user, cake) | give me it
on(table, plate) | put it on the table
on(table, cookie) | put it on the table
on(table, muffin) | put it on the table
filled(mug, kettle) | fill it from the kettle
has(user, mug) | give me it
on(table, bowl) | put it on the table
on(table, pizza) | put it on the table
on(couch, rug) | put it on the couch
on(couch, pillow) | put it on the couch
inside(dishwasher, plate) | put it in the dishwasher
inside(dishwasher, mug) | put it in the dishwasher
inside(dishwasher, bowl) | put it in the dishwasher
]

[  % 2
switched_on(television) | turn on the television
has(user, phone) | give me it
on(couch, book) | put it on the couch
has(user, pencil) | give me it
on(couch, blanket) | put it on the couch
has(user, cake) | give me it
on(table, plate) | put it on the table
on(table, cookie) | put it on the table
on(table, muffin) | put it on the table
filled(mug, kettle) | fill it from the kettle
has(user, mug) | give me it
on(table, bowl) | put it on the table
on(table, pizza) | put it on the table
inside(dishwasher, plate) | put it in the dishwasher
inside(dishwasher, mug) | put it in the dishwasher
inside(dishwasher, bowl) | put it in the dishwasher
]

[  % 3
on(table, computer) | put the computer on the table
has(user, newspaper) | give me it
on(couch, book) | put it on the couch
has(user, pencil) | give me it
on(table, plate) | put it on the table
on(table, muffin) | put it on the table
on(table, pizza) | put it on the table
filled(mug, kettle) | fill it from the kettle
has(user, mug) | give me it
on(table, bowl) | put it on the table
on(table, cookie) | put it on the table
on(couch, rug) | put it on the couch
on(couch, curtain) | put it on the couch
inside(dishwasher, plate) | put it in the dishwasher
inside(dishwasher, mug) | put it in the dishwasher
inside(dishwasher, bowl) | put it in the dishwasher
]

[  % 4
switched_on(television) | turn on the television
has(user, phone) | give me it
on(couch, blanket) | put it on the couch
has(user, cake) | give me it
on(couch, book) | put it on the couch
has(user, pencil) | give me it
on(table, plate) | put it on the table
on(table, muffin) | put it on the table
on(table, pizza) | put it on the table
filled(mug, kettle) | fill it from the kettle
has(user, mug) | give me it
on(table, bowl) | put it on the table
on(table, cookie) | put it on the table
inside(dishwasher, plate) | put it in the dishwasher
inside(dishwasher, mug) | put it in the dishwasher
inside(dishwasher, bowl) | put it in the dishwasher
]

[  % 5
on(table, plate) | put the plate on the table
open(refrigerator) | open it
inside(microwave_oven, chicken) | put it in the microwave
on(table, orange) | put it on the table
closed(refrigerator) | close it
heated(chicken) | heat it
on(table, chicken) | put it on the table
has(user, bread) | give me it
on(couch, blanket) | put it on the couch
has(user, cake) | give me it
on(table, pizza) | put it on the table
on(couch, pillow) | put it on the couch
