[  % 1
on(table, computer) | put the computer on the table
has(user, newspaper) | give me the stationery
on(couch, blanket) | put the linen on the couch
has(user, cake) | give me the baked
on(table, plate) | put the tableware on the table
on(table, cookie) | put the baked on the table
on(table, muffin) | put the baked on the table
filled(mug, kettle) | fill the drinkware from the kettle
has(user, mug) | give me the drinkware
on(table, bowl) | put the tableware on the table
on(table, pizza) | put the baked on the table
on(couch, rug) | put the linen on the couch
on(couch, pillow) | put the linen on the couch
inside(dishwasher, plate) | put the tableware in the dishwasher
inside(dishwasher, mug) | put the drinkware in the dishwasher
inside(dishwasher, bowl) | put the tableware in the dishwasher
]

[  % 2
switched_on(television) | turn on the television
has(user, phone) | give me the electronics
on(couch, book) | put the stationery on the couch
has(user, pencil) | give me the stationery
on(couch, blanket) | put the linen on the couch
has(user, cake) | give me the baked
on(table, plate) | put the tableware on the table
on(table, cookie) | put the baked on the table
on(table, muffin) | put the baked on the table
filled(mug, kettle) | fill the drinkware from the kettle
has(user, mug) | give me the drinkware
on(table, bowl) | put the tableware on the table
on(table, pizza) | put the baked on the table
inside(dishwasher, plate) | put the tableware in the dishwasher
inside(dishwasher, mug) | put the drinkware in the dishwasher
inside(dishwasher, bowl) | put the tableware in the dishwasher
]

[  % 3
on(table, computer) | put the computer on the table
has(user, newspaper) | give me the stationery
on(couch, book) | put the stationery on the couch
has(user, pencil) | give me the stationery
on(table, plate) | put the tableware on the table
on(table, muffin) | put the baked on the table
on(table, pizza) | put the baked on the table
filled(mug, kettle) | fill the drinkware from the kettle
has(user, mug) | give me the drinkware
on(table, bowl) | put the tableware on the table
on(table, cookie) | put the baked on the table
on(couch, rug) | put the linen on the couch
on(couch, curtain) | put the linen on the couch
inside(dishwasher, plate) | put the tableware in the dishwasher
inside(dishwasher, mug) | put the drinkware in the dishwasher
inside(dishwasher, bowl) | put the tableware in the dishwasher
]

[  % 4
switched_on(television) | turn on the television
has(user, phone) | give me the electronics
on(couch, blanket) | put the linen on the couch
has(user, cake) | give me the baked
on(couch, book) | put the stationery on the couch
has(user, pencil) | give me the stationery
on(table, plate) | put the tableware on the table
on(table, muffin) | put the baked on the table
on(table, pizza) | put the baked on the table
filled(mug, kettle) | fill the drinkware from the kettle
has(user, mug) | give me the drinkware
on(table, bowl) | put the tableware on the table
on(table, cookie) | put the baked on the table
inside(dishwasher, plate) | put the tableware in the dishwasher
inside(dishwasher, mug) | put the drinkware in the dishwasher
inside(dishwasher, bowl) | put the tableware in the dishwasher
]

[  % 5
on(table, plate) | put the plate on the table
open(refrigerator) | open the inside_furniture
inside(microwave_oven, chicken) | put the protein in the microwave
on(table, orange) | put the fruit on the table
closed(refrigerator) | close the inside_furniture
heated(chicken) | heat the protein
on(table, chicken) | put the protein on the table
has(user, bread) | give me the baked
on(couch, blanket) | put the linen on the couch
has(user, cake) | give me the baked
on(table, pizza) | put the baked on the table
on(couch, pillow) | put the linen on the couch
filled(mug, kettle) | fill the drinkware from the kettle
has(user, mug) | give me the drinkware
inside(dishwasher, plate) | put the tableware in the dishwasher
inside(dishwasher, mug) | put the drinkware in the dishwasher
]

[  % 6
on(table, computer) | put the computer on the table
has(user, newspaper) | give me the stationery
switched_on(television) | turn on the light
has(user, phone) | give me the electronics
on(table, plate) | put the tableware on the table
on(table, cookie) | put the baked on the table
on(table, pizza) | put the baked on the table
filled(mug, kettle) | fill the drinkware from the kettle
has(user, mug) | give me the drinkware
on(table, bowl) | put the tableware on the table
on(table, muffin) | put the baked on the table
on(couch, pillow) | put the linen on the couch
on(couch, rug) | put the linen on the couch
inside(dishwasher, plate) | put the tableware in the dishwasher
