[  % 1
on(table, computer) | put the computer on the table
has(user, mug) | give me the kitchenware
on(couch, blanket) | put the household on the couch
has(user, pizza) | give me the food
on(table, plate) | put the kitchenware on the table
on(table, cookie) | put the food on the table
on(table, bread) | put the food on the table
on(table, jar) | put the kitchenware on the table
filled(cup, kettle) | fill the kitchenware from the kettle
has(user, cup) | give me the kitchenware
filled(thermos, kettle) | fill the kitchenware from the kettle
has(user, thermos) | give me the kitchenware
inside(dishwasher, plate) | put the kitchenware in the dishwasher
inside(dishwasher, cup) | put the kitchenware in the dishwasher
inside(dishwasher, thermos) | put the kitchenware in the dishwasher
on(couch, rug) | put the household on the couch
]

[  % 2
switched_on(television) | turn on the television
has(user, bowl) | give me the kitchenware
on(couch, newspaper) | put the household on the couch
has(user, glass) | give me the kitchenware
on(couch, blanket) | put the household on the couch
has(user, pizza) | give me the food
on(table, plate) | put the kitchenware on the table
on(table, cookie) | put the food on the table
on(table, cake) | put the food on the table
filled(cup, kettle) | fill the kitchenware from the kettle
has(user, cup) | give me the kitchenware
filled(thermos, kettle) | fill the kitchenware from the kettle
has(user, thermos) | give me the kitchenware
inside(dishwasher, plate) | put the kitchenware in the dishwasher
inside(dishwasher, cup) | put the kitchenware in the dishwasher
inside(dishwasher, thermos) | put the kitchenware in the dishwasher
]

[  % 3
on(table, computer) | put the computer on the table
has(user, mug) | give me the kitchenware
on(couch, newspaper) | put the household on the couch
has(user, glass) | give me the kitchenware
on(table, plate) | put the kitchenware on the table
on(table, cake) | put the food on the table
on(table, muffin) | put the food on the table
on(table, bottle) | put the kitchenware on the table
filled(cup, kettle) | fill the kitchenware from the kettle
has(user, cup) | give me the kitchenware
filled(thermos, kettle) | fill the kitchenware from the kettle
has(user, thermos) | give me the kitchenware
inside(dishwasher, plate) | put the kitchenware in the dishwasher
inside(dishwasher, cup) | put the kitchenware in the dishwasher
inside(dishwasher, thermos) | put the kitchenware in the dishwasher
on(couch, pillow) | put the household on the couch
]

[  % 4
switched_on(television) | turn on the television
has(user, bowl) | give me the kitchenware
on(couch, blanket) | put the household on the couch
has(user, pizza) | give me the food
on(couch, newspaper) | put the household on the couch
has(user, glass) | give me the kitchenware
on(table, plate) | put the kitchenware on the table
on(table, bread) | put the food on the table
on(table, bottle) | put the kitchenware on the table
filled(cup, kettle) | fill the kitchenware from the kettle
has(user, cup) | give me the kitchenware
filled(thermos, kettle) | fill the kitchenware from the kettle
has(user, thermos) | give me the kitchenware
inside(dishwasher, plate) | put the kitchenware in the dishwasher
inside(dishwasher, cup) | put the kitchenware in the dishwasher
inside(dishwasher, thermos) | put the kitchenware in the dishwasher
]

[  % 5
on(table, plate) | put the plate on the table
open(refrigerator) | open the inside_furniture
inside(microwave_oven, steak) | put the food in the microwave
on(table, orange) | put the food on the table
closed(refrigerator) | close the inside_furniture
heated(steak) | heat the food
on(table, steak) | put the food on the table
has(user, basket) | give me the household
on(couch, blanket) | put the household on the couch
has(user, pizza) | give me the food
on(table, muffin) | put the food on the table
on(couch, pillow) | put the household on the couch
filled(cup, kettle) | fill the kitchenware from the kettle
has(user, cup) | give me the kitchenware
inside(dishwasher, plate) | put the kitchenware in the dishwasher
inside(dishwasher, cup) | put the kitchenware in the dishwasher
]

[  % 6
on(table, computer) | put the computer on the table
has(user, mug) | give me the kitchenware
switched_on(television) | turn on the household
has(user, bowl) | give me the kitchenware
on(table, plate) | put the kitchenware on the table
on(table, bread) | put the food on the table
on(table, jar) | put the kitchenware on the table
on(table, cookie) | put the food on the table
filled(cup, kettle) | fill the kitchenware from the kettle
has(user, cup) | give me the kitchenware
filled(thermos, kettle) | fill the kitchenware from the kettle
has(user, thermos) | give me the kitchenware
inside(dishwasher, plate) | put the kitchenware in the dishwasher
inside(dishwasher, cup) | put the kitchenware in the dishwasher
inside(dishwasher, thermos) | put the kitchenware in the dishwasher
on(couch, rug) | put the household on the couch
]

[  % 7
on(couch, blanket) | put the blanket on the couch
has(user, pizza) | give me the food
on(couch, newspaper) | put the household on the couch
has(user, glass) | give me the kitchenware
on(table, plate) | put the kitchenware on the table
on(table, muffin) | put the food on the table
on(table, cake) | put the food on the table
on(table, bread) | put the food on the table
filled(cup, kettle) | fill the kitchenware from the kettle
has(user, cup) | give me the kitchenware
filled(thermos, kettle) | fill the kitchenware from the kettle
has(user, thermos) | give me the kitchenware
inside(dishwasher, plate) | put the kitchenware in the dishwasher
inside(dishwasher, cup) | put the kitchenware in the dishwasher
inside(dishwasher, thermos) | put the kitchenware in the dishwasher
on(couch, pillow) | put the household on the couch
]

[  % 8
switched_on(television) | turn on the television
has(user, bowl) | give me the kitchenware
on(table, computer) | put the household on the table
has(user, mug) | give me the kitchenware
on(table, plate) | put the kitchenware on the table
on(table, jar) | put the kitchenware on the table
on(table, bottle) | put the kitchenware on the table
on(table, muffin) | put the food on the table
filled(cup, kettle) | fill the kitchenware from the kettle
has(user, cup) | give me the kitchenware
filled(thermos, kettle) | fill the kitchenware from the kettle
has(user, thermos) | give me the kitchenware
inside(dishwasher, plate) | put the kitchenware in the dishwasher
inside(dishwasher, cup) | put the kitchenware in the dishwasher
inside(dishwasher, thermos) | put the kitchenware in the dishwasher
on(couch, rug) | put the household on the couch
]

[  % 9
filled(mug, kettle) | fill the mug from the kettle
on(table, peach) | put the food on the table
on(couch, pillow) | put the household on the couch
on(couch, blanket) | put the household on the couch
on(couch, rug) | put the household on the couch
on(couch, towel) | put the household on the couch
has(user, newspaper) | give me the household
]

[  % 10
filled(teapot, kettle) | fill the teapot from the kettle
on(couch, newspaper) | put the household on the couch
has(user, newspaper) | give me the household
has(user, pencil) | give me the household
on(couch, pillow) | put the household on the couch
on(couch, blanket) | put the household on the couch
has(user, plate) | give me the kitchenware
]

[  % 11
on(table, calculator) | put the calculator on the table
has(user, ashtray) | give me the kitchenware
on(couch, sweater) | put the household on the couch
has(user, hamburger) | give me the food
on(table, tray) | put the kitchenware on the table
on(table, scone) | put the food on the table
on(table, baguette) | put the food on the table
on(table, barrel) | put the kitchenware on the table
filled(chalice, electric_kettle) | fill the kitchenware from the electric_kettle
has(user, chalice) | give me the kitchenware
filled(thermometer, electric_kettle) | fill the kitchenware from the electric_kettle
has(user, thermometer) | give me the kitchenware
inside(dishwasher, tray) | put the kitchenware in the dishwasher
inside(dishwasher, chalice) | put the kitchenware in the dishwasher
inside(dishwasher, thermometer) | put the kitchenware in the dishwasher
on(couch, scarf) | put the household on the couch
]

[  % 12
switched_on(projector) | turn on the projector
has(user, saltshaker) | give me the kitchenware
on(couch, matchbook) | put the household on the couch
has(user, hourglass) | give me the kitchenware
on(couch, sweater) | put the household on the couch
has(user, hamburger) | give me the food
on(table, tray) | put the kitchenware on the table
on(table, scone) | put the food on the table
on(table, cupcake) | put the food on the table
filled(chalice, electric_kettle) | fill the kitchenware from the electric_kettle
has(user, chalice) | give me the kitchenware
filled(thermometer, electric_kettle) | fill the kitchenware from the electric_kettle
has(user, thermometer) | give me the kitchenware
inside(dishwasher, tray) | put the kitchenware in the dishwasher
inside(dishwasher, chalice) | put the kitchenware in the dishwasher
inside(dishwasher, thermometer) | put the kitchenware in the dishwasher
]

[  % 13
on(table, calculator) | put the calculator on the table
has(user, ashtray) | give me the kitchenware
on(couch, matchbook) | put the household on the couch
has(user, hourglass) | give me the kitchenware
on(table, tray) | put the kitchenware on the table
on(table, cupcake) | put the food on the table
on(table, pancake) | put the food on the table
on(table, oil_can) | put the kitchenware on the table
filled(chalice, electric_kettle) | fill the kitchenware from the electric_kettle
has(user, chalice) | give me the kitchenware
filled(thermometer, electric_kettle) | fill the kitchenware from the electric_kettle
has(user, thermometer) | give me the kitchenware
inside(dishwasher, tray) | put the kitchenware in the dishwasher
inside(dishwasher, chalice) | put the kitchenware in the dishwasher
inside(dishwasher, thermometer) | put the kitchenware in the dishwasher
on(couch, place_mat) | put the household on the couch
]

