[  % 1
heated(egg) | heat the egg
has(user, knife) | give me the kitchenware
on(table, plate) | put the kitchenware on the table
on(plate, egg) | put the food on the plate
filled(glass, kettle) | fill the kitchenware from the kettle
has(user, glass) | give me the kitchenware
on(couch, blanket) | put the household on the couch
has(user, peach) | give me the food
on(table, apple) | put the food on the table
on(table, banana) | put the food on the table
inside(dishwasher, plate) | put the kitchenware in the dishwasher
inside(dishwasher, bowl) | put the kitchenware in the dishwasher
on(couch, book) | put the household on the couch
switched_on(lamp) | turn on the household
on(couch, pillow) | put the household on the couch
on(couch, rug) | put the household on the couch
]

[  % 2
on(table, computer) | put the computer on the table
has(user, pencil) | give me the household
on(couch, book) | put the household on the couch
switched_on(lamp) | turn on the household
filled(mug, kettle) | fill the kitchenware from the kettle
has(user, mug) | give me the kitchenware
on(table, apple) | put the food on the table
on(table, grape) | put the food on the table
on(couch, blanket) | put the household on the couch
has(user, peach) | give me the food
on(couch, pillow) | put the household on the couch
on(couch, rug) | put the household on the couch
on(table, orange) | put the food on the table
on(table, banana) | put the food on the table
inside(dishwasher, plate) | put the kitchenware in the dishwasher
inside(dishwasher, bowl) | put the kitchenware in the dishwasher
]

[  % 3
switched_on(television) | turn on the television
has(user, blanket) | give me the household
filled(thermos, kettle) | fill the kitchenware from the kettle
has(user, thermos) | give me the kitchenware
on(table, apple) | put the food on the table
on(table, grape) | put the food on the table
on(couch, pillow) | put the household on the couch
on(couch, rug) | put the household on the couch
on(couch, book) | put the household on the couch
switched_on(lamp) | turn on the household
filled(bottle, kettle) | fill the kitchenware from the kettle
has(user, bottle) | give me the kitchenware
on(table, orange) | put the food on the table
on(table, banana) | put the food on the table
inside(dishwasher, plate) | put the kitchenware in the dishwasher
inside(dishwasher, bowl) | put the kitchenware in the dishwasher
]

[  % 4
on(table, computer) | put the computer on the table
has(user, pencil) | give me the household
on(couch, book) | put the household on the couch
switched_on(lamp) | turn on the household
filled(mug, kettle) | fill the kitchenware from the kettle
has(user, mug) | give me the kitchenware
on(table, apple) | put the food on the table
on(table, banana) | put the food on the table
on(couch, pillow) | put the household on the couch
on(couch, rug) | put the household on the couch
on(table, orange) | put the food on the table
on(table, grape) | put the food on the table
filled(bottle, kettle) | fill the kitchenware from the kettle
has(user, bottle) | give me the kitchenware
inside(dishwasher, plate) | put the kitchenware in the dishwasher
inside(dishwasher, bowl) | put the kitchenware in the dishwasher
]

[  % 5
heated(chicken) | heat the chicken
has(user, fork) | give me the kitchenware
on(table, plate) | put the kitchenware on the table
on(plate, chicken) | put the food on the plate
filled(glass, kettle) | fill the kitchenware from the kettle
has(user, glass) | give me the kitchenware
on(couch, blanket) | put the household on the couch
has(user, peach) | give me the food
on(table, orange) | put the food on the table
on(table, grape) | put the food on the table
inside(dishwasher, plate) | put the kitchenware in the dishwasher
inside(dishwasher, bowl) | put the kitchenware in the dishwasher
on(couch, pillow) | put the household on the couch
on(couch, rug) | put the household on the couch
on(table, apple) | put the food on the table
on(table, banana) | put the food on the table
]

[  % 6
on(couch, book) | put the book on the couch
switched_on(lamp) | turn on the household
on(couch, blanket) | put the household on the couch
has(user, peach) | give me the food
filled(teapot, kettle) | fill the kitchenware from the kettle
has(user, teapot) | give me the kitchenware
on(table, apple) | put the food on the table
on(table, grape) | put the food on the table
on(couch, pillow) | put the household on the couch
on(couch, rug) | put the household on the couch
on(table, orange) | put the food on the table
on(table, banana) | put the food on the table
filled(bottle, kettle) | fill the kitchenware from the kettle
has(user, bottle) | give me the kitchenware
inside(dishwasher, plate) | put the kitchenware in the dishwasher
inside(dishwasher, bowl) | put the kitchenware in the dishwasher
]

[  % 7
heated(steak) | heat the steak
has(user, spoon) | give me the kitchenware
on(table, plate) | put the kitchenware on the table
on(plate, steak) | put the food on the plate
filled(teapot, kettle) | fill the kitchenware from the kettle
has(user, teapot) | give me the kitchenware
on(table, orange) | put the food on the table
on(table, apple) | put the food on the table
inside(dishwasher, plate) | put the kitchenware in the dishwasher
inside(dishwasher, bowl) | put the kitchenware in the dishwasher
on(couch, pillow) | put the household on the couch
on(couch, rug) | put the household on the couch
on(table, grape) | put the food on the table
on(table, banana) | put the food on the table
filled(bottle, kettle) | fill the kitchenware from the kettle
has(user, bottle) | give me the kitchenware
]

[  % 8
on(table, computer) | put the computer on the table
has(user, pencil) | give me the household
switched_on(television) | turn on the household
has(user, blanket) | give me the household
filled(thermos, kettle) | fill the kitchenware from the kettle
has(user, thermos) | give me the kitchenware
on(table, orange) | put the food on the table
on(table, apple) | put the food on the table
on(couch, pillow) | put the household on the couch
on(couch, rug) | put the household on the couch
on(table, grape) | put the food on the table
on(table, banana) | put the food on the table
filled(bottle, kettle) | fill the kitchenware from the kettle
has(user, bottle) | give me the kitchenware
inside(dishwasher, plate) | put the kitchenware in the dishwasher
inside(dishwasher, bowl) | put the kitchenware in the dishwasher
]

[  % 9
switched_on(television) | turn on the television
has(user, blanket) | give me the household
filled(bottle, kettle) | fill the kitchenware from the kettle
has(user, bottle) | give me the kitchenware
on(table, apple) | put the food on the table
on(table, grape) | put the food on the table
on(couch, pillow) | put the household on the couch
on(couch, rug) | put the household on the couch
filled(jar, kettle) | fill the kitchenware from the kettle
has(user, jar) | give me the kitchenware
on(table, orange) | put the food on the table
on(table, banana) | put the food on the table
filled(thermos, kettle) | fill the kitchenware from the kettle
has(user, thermos) | give me the kitchenware
inside(dishwasher, plate) | put the kitchenware in the dishwasher
inside(dishwasher, bowl) | put the kitchenware in the dishwasher
]

[  % 10
on(couch, book) | put the book on the couch
switched_on(lamp) | turn on the household
on(couch, blanket) | put the household on the couch
