[  % 1
on(table, plate) | put the plate on the table
open(refrigerator) | open the inside_furniture
inside(microwave_oven, steak) | put the protein in the microwave
on(table, apple) | put the fruit on the table
closed(refrigerator) | close the inside_furniture
heated(steak) | heat the protein
on(table, steak) | put the protein on the table
has(user, basket) | give me the cleaning_tool
on(couch, newspaper) | put the stationery on the couch
has(user, glass) | give me the drinkware
on(table, cookie) | put the baked on the table
on(couch, pillow) | put the linen on the couch
filled(cup, kettle) | fill the drinkware from the kettle
has(user, cup) | give me the drinkware
inside(dishwasher, plate) | put the tableware in the dishwasher
inside(dishwasher, cup) | put the drinkware in the dishwasher
]

[  % 2
on(table, computer) | put the computer on the table
has(user, mug) | give me the drinkware
on(couch, blanket) | put the linen on the couch
has(user, pizza) | give me the baked
on(table, plate) | put the tableware on the table
on(table, cookie) | put the baked on the table
on(table, bread) | put the baked on the table
on(table, jar) | put the drinkware on the table
filled(cup, kettle) | fill the drinkware from the kettle
has(user, cup) | give me the drinkware
filled(thermos, kettle) | fill the drinkware from the kettle
has(user, thermos) | give me the drinkware
inside(dishwasher, plate) | put the tableware in the dishwasher
inside(dishwasher, cup) | put the drinkware in the dishwasher
inside(dishwasher, thermos) | put the drinkware in the dishwasher
on(couch, rug) | put the linen on the couch
]

[  % 3
switched_on(television) | turn on the television
has(user, bowl) | give me the tableware
on(couch, newspaper) | put the stationery on the couch
has(user, glass) | give me the drinkware
on(couch, blanket) | put the linen on the couch
has(user, pizza) | give me the baked
on(table, plate) | put the tableware on the table
on(table, cookie) | put the baked on the table
on(table, cake) | put the baked on the table
filled(cup, kettle) | fill the drinkware from the kettle
has(user, cup) | give me the drinkware
filled(thermos, kettle) | fill the drinkware from the kettle
has(user, thermos) | give me the drinkware
inside(dishwasher, plate) | put the tableware in the dishwasher
inside(dishwasher, cup) | put the drinkware in the dishwasher
inside(dishwasher, thermos) | put the drinkware in the dishwasher
]

[  % 4
on(table, plate) | put the plate on the table
open(refrigerator) | open the inside_furniture
inside(microwave_oven, steak) | put the protein in the microwave
on(table, banana) | put the fruit on the table
closed(refrigerator) | close the inside_furniture
heated(steak) | heat the protein
on(table, steak) | put the protein on the table
has(user, basket) | give me the cleaning_tool
switched_on(television) | turn on the light
has(user, bowl) | give me the tableware
on(table, cake) | put the baked on the table
on(couch, rug) | put the linen on the couch
filled(cup, kettle) | fill the drinkware from the kettle
has(user, cup) | give me the drinkware
inside(dishwasher, plate) | put the tableware in the dishwasher
inside(dishwasher, cup) | put the drinkware in the dishwasher
]

[  % 5
on(table, computer) | put the computer on the table
has(user, mug) | give me the drinkware
on(couch, newspaper) | put the stationery on the couch
has(user, glass) | give me the drinkware
on(table, plate) | put the tableware on the table
on(table, cake) | put the baked on the table
on(table, muffin) | put the baked on the table
on(table, bottle) | put the drinkware on the table
filled(cup, kettle) | fill the drinkware from the kettle
has(user, cup) | give me the drinkware
filled(thermos, kettle) | fill the drinkware from the kettle
has(user, thermos) | give me the drinkware
inside(dishwasher, plate) | put the tableware in the dishwasher
inside(dishwasher, cup) | put the drinkware in the dishwasher
inside(dishwasher, thermos) | put the drinkware in the dishwasher
on(couch, pillow) | put the linen on the couch
]

[  % 6
switched_on(television) | turn on the television
has(user, bowl) | give me the tableware
on(couch, blanket) | put the linen on the couch
has(user, pizza) | give me the baked
on(couch, newspaper) | put the stationery on the couch
has(user, glass) | give me the drinkware
on(table, plate) | put the tableware on the table
on(table, bread) | put the baked on the table
on(table, bottle) | put the drinkware on the table
filled(cup, kettle) | fill the drinkware from the kettle
has(user, cup) | give me the drinkware
filled(thermos, kettle) | fill the drinkware from the kettle
has(user, thermos) | give me the drinkware
inside(dishwasher, plate) | put the tableware in the dishwasher
inside(dishwasher, cup) | put the drinkware in the dishwasher
inside(dishwasher, thermos) | put the drinkware in the dishwasher
]

[  % 7
on(table, plate) | put the plate on the table
open(refrigerator) | open the inside_furniture
inside(microwave_oven, steak) | put the protein in the microwave
on(table, orange) | put the fruit on the table
closed(refrigerator) | close the inside_furniture
heated(steak) | heat the protein
on(table, steak) | put the protein on the table
has(user, basket) | give me the cleaning_tool
on(couch, blanket) | put the linen on the couch
has(user, pizza) | give me the baked
on(table, muffin) | put the baked on the table
on(couch, pillow) | put the linen on the couch
filled(cup, kettle) | fill the drinkware from the kettle
has(user, cup) | give me the drinkware
inside(dishwasher, plate) | put the tableware in the dishwasher
inside(dishwasher, cup) | put the drinkware in the dishwasher
]

[  % 8
on(table, computer) | put the computer on the table
has(user, mug) | give me the drinkware
switched_on(television) | turn on the light
has(user, bowl) | give me the tableware
on(table, plate) | put the tableware on the table
on(table, bread) | put the baked on the table
on(table, jar) | put the drinkware on the table
on(table, cookie) | put the baked on the table
filled(cup, kettle) | fill the drinkware from the kettle
has(user, cup) | give me the drinkware
filled(thermos, kettle) | fill the drinkware from the kettle
has(user, thermos) | give me the drinkware
inside(dishwasher, plate) | put the tableware in the dishwasher
inside(dishwasher, cup) | put the drinkware in the dishwasher
inside(dishwasher, thermos) | put the drinkware in the dishwasher
on(couch, rug) | put the linen on the couch
]

[  % 9
on(couch, blanket) | put the blanket on the couch
has(user, pizza) | give me the baked
on(couch, newspaper) | put the stationery on the couch
has(user, glass) | give me the drinkware
on(table, plate) | put the tableware on the table
on(table, muffin) | put the baked on the table
on(table, cake) | put the baked on the table
on(table, bread) | put the baked on the table
filled(cup, kettle) | fill the drinkware from the kettle
has(user, cup) | give me the drinkware
filled(thermos, kettle) | fill the drinkware from the kettle
has(user, thermos) | give me the drinkware
inside(dishwasher, plate) | put the tableware in the dishwasher
inside(dishwasher, cup) | put the drinkware in the dishwasher
inside(dishwasher, thermos) | put the drinkware in the dishwasher
on(couch, pillow) | put the linen on the couch
]

[  % 10
switched_on(television) | turn on the television
has(user, bowl) | give me the tableware
on(table, computer) | put the electronics on the table
has(user, mug) | give me the drinkware
on(table, plate) | put the tableware on the table
on(table, jar) | put the drinkware on the table
on(table, bottle) | put the drinkware on the table
on(table, muffin) | put the baked on the table
filled(cup, kettle) | fill the drinkware from the kettle
has(user, cup) | give me the drinkware
filled(thermos, kettle) | fill the drinkware from the kettle
has(user, thermos) | give me the drinkware
inside(dishwasher, plate) | put the tableware in the dishwasher
inside(dishwasher, cup) | put the drinkware in the dishwasher
inside(dishwasher, thermos) | put the drinkware in the dishwasher
on(couch, rug) | put the linen on the couch
]

